Номер заказа;Номер отправления;Принят в обработку;Дата отгрузки;Статус;Дата доставки;Фактическая дата передачи в доставку;Сумма отправления;Наименование товара;OZON id;Количество
35724124-0030;35724124-0030-2;30.07.2025 21:41;31.07.2025 08:00;Доставляется;;31.07.2025 07:57;1116;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), L;1768353195;1
35724124-0030;35724124-0030-1;30.07.2025 21:41;01.08.2025 01:30;Доставляется;;31.07.2025 23:45;5347;Футболка RNDM CREW х VK Музыка, цвет серый с розовым принтом (VLM-TS-003-700), M;1787540759;1
11422513-0050;11422513-0050-1;30.07.2025 20:00;31.07.2025 00:00;Доставлен;01.08.2025 17:09;31.07.2025 00:38;2303;Худи VK Персик комикс, черное (VMS-SW-006-800), XXS;1778100172;1
0135304954-0016;0135304954-0016-7;30.07.2025 19:56;31.07.2025 00:00;Доставлен;01.08.2025 16:40;31.07.2025 01:21;4637;Футболка VK Fest 2025, белая (VKF-TS-001-102), S;2241557374;1
0135304954-0016;0135304954-0016-5;30.07.2025 19:56;31.07.2025 00:00;Доставлен;01.08.2025 16:40;31.07.2025 00:58;1129;Брелок VK Fest;2241619970;1
0135304954-0016;0135304954-0016-4;30.07.2025 19:56;01.08.2025 14:30;Доставляется;;01.08.2025 12:38;4637;Футболка VK Fest 2025, белая (VKF-TS-001-102), XS;2241557486;1
0135304954-0016;0135304954-0016-3;30.07.2025 19:56;31.07.2025 00:00;Отменён;;31.07.2025 01:10;4637;Футболка VK Fest сфера, белая (VKF-TS-001-101), L;2241557487;1
0135304954-0016;0135304954-0016-2;30.07.2025 19:56;31.07.2025 00:00;Доставлен;01.08.2025 16:40;31.07.2025 00:58;636;Обложка на паспорт VK Дигги (Фуксия);1768141585;1
0135304954-0016;0135304954-0016-1;30.07.2025 19:56;31.07.2025 00:00;Отменён;;31.07.2025 01:21;912;Носки VK Fest, фиолетовые (VKF-SC-018-999), 36-39;2243577739;1
21000086-0058;21000086-0058-1;30.07.2025 19:17;31.07.2025 00:00;Доставлен;31.07.2025 16:53;31.07.2025 01:00;8557;Худи RNDM CREW х VK Музыка, цвет розовый с черным принтом (VLM-SW-001-400), M;1787540742;1
16644301-0334;16644301-0334-2;30.07.2025 18:11;31.07.2025 04:00;Доставлен;03.08.2025 09:10;31.07.2025 05:24;345;Носки с Бака Акио, белые (VMS-SC-015-100), 36-40;1769119475;1
16644301-0334;16644301-0334-1;30.07.2025 18:11;31.07.2025 14:00;Доставлен;03.08.2025 09:10;31.07.2025 03:10;414;Значок VK Персик;1769215980;1
69156408-0139;69156408-0139-3;30.07.2025 18:00;31.07.2025 12:30;Отменён;;;1813;Базовая кепка VK, синяя;1768142196;1
69156408-0139;69156408-0139-1;30.07.2025 18:00;31.07.2025 12:30;Отменён;;;292;Стикерпак VK Спотти;1775029418;1
46628931-0317;46628931-0317-3;30.07.2025 17:51;31.07.2025 08:00;Доставлен;01.08.2025 16:34;31.07.2025 08:23;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
46628931-0317;46628931-0317-1;30.07.2025 17:51;31.07.2025 08:00;Доставлен;01.08.2025 16:34;31.07.2025 08:25;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
45049537-1060;45049537-1060-1;30.07.2025 17:18;31.07.2025 00:00;Доставляется;;30.07.2025 23:49;684;Обложка на паспорт VK Дигги (Фуксия);1768141585;1
45049537-1059;45049537-1059-1;30.07.2025 17:12;31.07.2025 00:00;Доставляется;;30.07.2025 23:47;3362;Мягкая игрушка VK Дигги;1768224507;1
45049537-1058;45049537-1058-1;30.07.2025 17:10;31.07.2025 00:00;Отменён;;;684;Картхолдер VK Дигги (Фуксия);1768141524;1
38717563-0004;38717563-0004-3;30.07.2025 15:32;01.08.2025 08:00;Доставляется;;01.08.2025 10:02;1200;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), L;1768353195;1
38717563-0004;38717563-0004-1;30.07.2025 15:32;01.08.2025 08:00;Доставляется;;01.08.2025 10:02;1245;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), M;1768353196;1
49616547-0106;49616547-0106-1;30.07.2025 14:59;01.08.2025 04:00;Доставлен;04.08.2025 13:46;31.07.2025 16:30;1134;Мягкая игрушка VK Хоппер, малая;1768224467;1
72678010-0053;72678010-0053-2;30.07.2025 14:52;31.07.2025 00:00;Доставляется;;30.07.2025 21:18;1704;Базовая кепка VK, синяя;1768142196;1
0111097639-0459;0111097639-0459-1;30.07.2025 13:45;31.07.2025 00:00;Отменён;;30.07.2025 19:33;981;Носки VK Fest, фиолетовые (VKF-SC-018-999), 40-42;2243577997;1
0111097639-0458;0111097639-0458-1;30.07.2025 13:40;31.07.2025 00:00;Отменён;;;571;Стикерпак VK Fest, смоляной;2241616286;1
44567070-0564;44567070-0564-3;30.07.2025 13:17;31.07.2025 00:00;Доставляется;;30.07.2025 22:01;266;Стикеры VK Бананос;1775029413;1
44567070-0564;44567070-0564-1;30.07.2025 13:17;31.07.2025 00:00;Доставляется;;30.07.2025 21:49;2812;Шнурок для телефона VK, синий;2162696671;1
0205894240-0004;0205894240-0004-2;30.07.2025 13:03;31.07.2025 08:00;Доставлен;03.08.2025 14:59;31.07.2025 09:34;1353;Мягкая игрушка VK МиуМяу;1768224468;1
0205894240-0004;0205894240-0004-1;30.07.2025 13:03;03.08.2025 09:30;Доставлен;04.08.2025 13:13;03.08.2025 11:48;1767;Мягкая игрушка VK Персик;1768224495;1
0205894240-0003;0205894240-0003-1;30.07.2025 12:49;02.08.2025 11:00;Доставлен;03.08.2025 14:59;01.08.2025 14:40;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), L;1768353206;1
80004838-0135;80004838-0135-1;30.07.2025 12:31;30.07.2025 22:00;Отменён;;30.07.2025 19:14;13794;Пуховик VK x FBL, цвет темно-серый (PFFR-FBLxVK-GRPHT), L;1787667196;1
74838672-0028;74838672-0028-1;30.07.2025 11:18;31.07.2025 13:30;Доставлен;03.08.2025 11:39;31.07.2025 14:30;1047;Джиббитсы VK Fest;2241612231;1
07343723-1220;07343723-1220-1;30.07.2025 10:55;31.07.2025 00:00;Доставлен;01.08.2025 16:02;30.07.2025 21:49;238;Стикерпак VK 3D VK Friends;1775029414;1
38717563-0003;38717563-0003-1;30.07.2025 10:51;31.07.2025 08:00;Доставляется;;31.07.2025 10:47;1200;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), L;1768353195;1
30487353-0484;30487353-0484-1;30.07.2025 07:46;31.07.2025 02:00;Доставляется;;31.07.2025 00:16;5149;Футболка RNDM CREW х VK Музыка, цвет серый с зеленым принтом (VLM-TS-002-700), XL;1787540771;1
0173805855-0018;0173805855-0018-1;30.07.2025 07:37;31.07.2025 00:00;Доставлен;01.08.2025 10:31;30.07.2025 13:35;345;Носки с Бака Акио, белые (VMS-SC-015-100), 36-40;1769119475;1
0173805855-0017;0173805855-0017-1;30.07.2025 07:36;01.08.2025 00:30;Доставлен;03.08.2025 15:12;30.07.2025 20:43;1245;Футболка Спотти 3D, Графит (V3D-TS-001-700), XXS;1768353214;1
36115672-0183;36115672-0183-1;30.07.2025 07:29;31.07.2025 10:00;Доставляется;;31.07.2025 10:30;13794;Пуховик VK x FBL, цвет темно-серый (PFFR-FBLxVK-GRPHT), XL;1787667062;1
0173805855-0016;0173805855-0016-1;30.07.2025 07:24;31.07.2025 00:00;Доставлен;01.08.2025 10:31;30.07.2025 20:54;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
31667066-0028;31667066-0028-3;30.07.2025 06:50;31.07.2025 08:00;Доставлен;03.08.2025 08:45;30.07.2025 09:48;1245;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), XL;1768353244;1
31667066-0028;31667066-0028-1;30.07.2025 06:50;31.07.2025 08:00;Доставлен;03.08.2025 08:45;30.07.2025 09:48;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), XL;1768353185;1
39166769-0244;39166769-0244-1;30.07.2025 06:35;31.07.2025 00:00;Доставлен;31.07.2025 15:52;30.07.2025 13:09;912;"Настольная игра VK ""Friends""";1776516081;1
0130329389-0053;0130329389-0053-1;30.07.2025 05:48;01.08.2025 04:00;Доставлен;03.08.2025 12:31;31.07.2025 16:03;4813;Худи VK Спотти комикс, голубое (VMS-SW-001-200), L;1778100199;1
64137100-0030;64137100-0030-7;30.07.2025 03:59;31.07.2025 00:00;Доставлен;01.08.2025 18:24;30.07.2025 13:52;1245;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), M;1768353196;1
64137100-0030;64137100-0030-4;30.07.2025 03:59;30.07.2025 20:00;Доставляется;;30.07.2025 18:44;474;Носки с Персиком, белые (VMS-SC-018-100), 36-40;1769119411;1
64137100-0030;64137100-0030-3;30.07.2025 03:59;31.07.2025 00:00;Доставлен;01.08.2025 18:24;30.07.2025 13:52;2139;Худи VK Персик комикс, черное (VMS-SW-006-800), XL;1778100223;1
31285244-0035;31285244-0035-1;30.07.2025 03:09;30.07.2025 20:00;Доставлен;04.08.2025 09:32;30.07.2025 18:10;2203;Футболка RNDM CREW х VK Музыка, цвет серый с зеленым принтом (VLM-TS-002-700), M;1787540715;1
42878586-0244;42878586-0244-3;30.07.2025 01:17;30.07.2025 12:30;Доставляется;;30.07.2025 07:29;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), XS;1768353251;1
42878586-0244;42878586-0244-2;30.07.2025 01:17;30.07.2025 10:00;Доставляется;;30.07.2025 11:32;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
0173805855-0015;0173805855-0015-1;29.07.2025 23:33;31.07.2025 00:00;Доставлен;01.08.2025 10:31;30.07.2025 20:55;1314;Футболка VK Kids Спотти, мятный (VKD-TS-001-500), 140;1774783462;1
0173805855-0014;0173805855-0014-1;29.07.2025 23:25;31.07.2025 00:00;Доставлен;01.08.2025 10:31;30.07.2025 20:55;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
0173805855-0013;0173805855-0013-1;29.07.2025 23:22;31.07.2025 00:00;Доставлен;01.08.2025 10:31;30.07.2025 20:55;345;Носки с Бака Акио, белые (VMS-SC-015-100), 36-40;1769119475;1
0173805855-0012;0173805855-0012-1;29.07.2025 23:21;30.07.2025 10:00;Отменён;;;1245;Футболка Спотти 3D, Графит (V3D-TS-001-700), XS;1768353212;1
59221529-0021;59221529-0021-1;29.07.2025 23:06;31.07.2025 00:00;Отменён;;30.07.2025 13:35;2285;Худи VK Персик комикс, черное (VMS-SW-006-800), XXS;1778100172;1
82666085-0096;82666085-0096-5;29.07.2025 21:12;31.07.2025 00:00;Доставляется;;30.07.2025 13:10;2394;Футболка VK НАТАЛЬНАЯ КАРТА черная (ST-VKNC-001-800), M;1840822100;1
49066567-0069;49066567-0069-1;29.07.2025 20:08;01.08.2025 00:30;Доставлен;03.08.2025 17:38;01.08.2025 00:58;4194;Худи zip VK x FBL, цвет бежевый (HDZP-FBLxVK-BG), S;1787540703;1
30642784-1705;30642784-1705-2;29.07.2025 19:58;30.07.2025 00:00;Доставлен;30.07.2025 15:19;30.07.2025 00:59;1110;Маска для сна VK Хоппер;1776495536;1
94830252-0245;94830252-0245-1;29.07.2025 19:37;30.07.2025 08:00;Отменён;;;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
04280162-0073;04280162-0073-2;29.07.2025 17:57;01.08.2025 08:00;Отменён;;30.07.2025 08:28;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), M;1768353171;1
04280162-0073;04280162-0073-1;29.07.2025 17:57;31.07.2025 00:00;Отменён;;31.07.2025 02:03;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), XL;1768353185;1
37349919-0186;37349919-0186-1;29.07.2025 17:18;;Доставляется;;31.07.2025 08:55;420;Значок VK Спотти, металлический;1769215949;1
66462383-0180;66462383-0180-1;29.07.2025 16:44;30.07.2025 02:30;Доставлен;03.08.2025 12:56;30.07.2025 01:59;1114;Брелок-маскот VK Спотти, Cеребро;1768307880;1
95481915-0002;95481915-0002-1;29.07.2025 16:31;30.07.2025 04:00;Доставляется;;30.07.2025 02:44;1353;Мягкая игрушка VK Спаркс;1768224517;1
24027537-0168;24027537-0168-3;29.07.2025 16:19;30.07.2025 08:00;Доставляется;;30.07.2025 09:32;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
24027537-0168;24027537-0168-1;29.07.2025 16:19;30.07.2025 08:00;Доставляется;;30.07.2025 09:25;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
43115495-0014;43115495-0014-1;29.07.2025 15:43;31.07.2025 00:00;Доставлен;01.08.2025 09:04;30.07.2025 13:34;1353;Мягкая игрушка VK Лис;1768224487;1
48962835-0058;48962835-0058-2;29.07.2025 15:27;31.07.2025 08:00;Доставляется;;31.07.2025 03:59;1175;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), M;1768353196;1
48962835-0058;48962835-0058-1;29.07.2025 15:27;29.07.2025 20:00;Доставляется;;29.07.2025 19:31;1175;Футболка Персик 3D, Лаванда (V3D-TS-001-400), L;1768353206;1
80004838-0133;80004838-0133-1;29.07.2025 15:21;30.07.2025 12:30;Отменён;;;13794;Пуховик VK x FBL, цвет темно-серый (PFFR-FBLxVK-GRPHT), L;1787667196;1
29723501-0050;29723501-0050-5;29.07.2025 14:59;30.07.2025 14:00;Доставляется;;30.07.2025 14:59;345;Носки с Бака Акио, белые (VMS-SC-015-100), 36-40;1769119475;1
29723501-0050;29723501-0050-3;29.07.2025 14:59;30.07.2025 14:00;Доставляется;;30.07.2025 18:22;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
29723501-0050;29723501-0050-2;29.07.2025 14:59;29.07.2025 19:00;Доставляется;;29.07.2025 20:01;395;Носки с МиуМяу, белые (VMS-SC-016-100), 36-40;1774695664;1
29723501-0050;29723501-0050-1;29.07.2025 14:59;30.07.2025 14:00;Доставляется;;30.07.2025 14:59;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
29723501-0049;29723501-0049-1;29.07.2025 14:45;30.07.2025 11:00;Доставляется;;30.07.2025 11:41;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), M;1768353171;1
29723501-0048;29723501-0048-1;29.07.2025 14:44;30.07.2025 14:00;Доставляется;;30.07.2025 14:59;1245;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), M;1768353196;1
29723501-0047;29723501-0047-13;29.07.2025 14:31;30.07.2025 20:00;Доставляется;;30.07.2025 21:06;441;Носки с Персиком, белые (VMS-SC-018-100), 36-40;1769119411;1
29723501-0047;29723501-0047-11;29.07.2025 14:31;30.07.2025 14:00;Доставляется;;30.07.2025 18:00;321;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
29723501-0047;29723501-0047-9;29.07.2025 14:31;03.08.2025 14:00;Доставляется;;03.08.2025 14:58;1158;Футболка Дигги 3D, Голубой (V3D-TS-001-200), M;1768353171;1
29723501-0047;29723501-0047-7;29.07.2025 14:31;03.08.2025 14:00;Доставляется;;30.07.2025 18:47;1116;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), L;1768353195;1
29723501-0047;29723501-0047-5;29.07.2025 14:31;31.07.2025 14:00;Доставляется;;01.08.2025 15:56;1158;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
29723501-0047;29723501-0047-4;29.07.2025 14:31;30.07.2025 07:30;Доставляется;;30.07.2025 11:32;1110;Шапка VK, светоотражающая;1768142069;1
29723501-0047;29723501-0047-3;29.07.2025 14:31;30.07.2025 07:00;Доставляется;;30.07.2025 04:34;321;Носки с Бака Акио, белые (VMS-SC-015-100), 36-40;1769119475;1
29723501-0047;29723501-0047-2;29.07.2025 14:31;30.07.2025 20:00;Доставляется;;30.07.2025 21:20;441;Носки с Бананос, белые (VMS-SC-017-100), 41-44;1774696174;1
29723501-0047;29723501-0047-1;29.07.2025 14:31;30.07.2025 10:00;Доставляется;;30.07.2025 08:09;1158;Футболка Спотти 3D, Графит (V3D-TS-001-700), XS;1768353212;1
38913480-0291;38913480-0291-3;29.07.2025 14:19;30.07.2025 02:00;Доставлен;02.08.2025 14:57;30.07.2025 01:26;700;Картхолдер VK Спотти (НЛО);1768141529;1
05229964-0085;05229964-0085-2;29.07.2025 13:37;01.08.2025 09:00;Доставляется;;01.08.2025 09:01;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XXS;1768353231;1
05229964-0085;05229964-0085-1;29.07.2025 13:37;30.07.2025 00:00;Доставляется;;29.07.2025 20:38;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
96299657-0133;96299657-0133-1;29.07.2025 13:25;30.07.2025 04:00;Доставлен;02.08.2025 10:10;30.07.2025 05:42;420;Значок VK Спотти, металлический;1769215949;1
0120779912-0097;0120779912-0097-1;29.07.2025 12:39;30.07.2025 00:00;Доставлен;02.08.2025 10:00;29.07.2025 21:05;414;Значок VK Персик;1769215980;1
0120779912-0086;0120779912-0086-1;29.07.2025 12:27;30.07.2025 00:00;Доставлен;02.08.2025 10:00;29.07.2025 21:05;420;Значок VK Спотти, металлический;1769215949;1
66602243-0104;66602243-0104-1;29.07.2025 12:26;30.07.2025 00:00;Доставлен;31.07.2025 07:35;29.07.2025 16:11;5823;Анорак VK Sticker, бордовый (VST-AN-006-400), L;2162596763;1
34606832-0183;34606832-0183-2;29.07.2025 11:48;30.07.2025 01:00;Доставлен;30.07.2025 14:38;29.07.2025 18:32;2139;Худи VK Дигги комикс, серое (VMS-SW-001-700), XXS;1778100190;1
51435694-0047;51435694-0047-3;29.07.2025 11:35;30.07.2025 02:00;Доставлен;31.07.2025 17:36;29.07.2025 21:01;419;"Значок VK ""Бака Акио""";1769215749;1
24027537-0167;24027537-0167-3;29.07.2025 11:09;30.07.2025 08:00;Доставляется;;30.07.2025 10:30;1245;Футболка Спаркс 3D, цвет экрю (V3D-TS-001-100), M;1768353196;1
24027537-0167;24027537-0167-2;29.07.2025 11:09;29.07.2025 14:30;Доставляется;;29.07.2025 16:01;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), M;1768353171;1
24027537-0167;24027537-0167-1;29.07.2025 11:09;02.08.2025 12:30;Доставляется;;02.08.2025 05:33;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), S;1768353201;1
28231200-0656;28231200-0656-4;29.07.2025 10:52;30.07.2025 00:00;Доставлен;31.07.2025 14:33;29.07.2025 20:42;8573;Худи RNDM CREW х VK Музыка, цвет серый с розовым принтом (VLM-SW-002-700), M;1787540705;1
28231200-0656;28231200-0656-3;29.07.2025 10:52;30.07.2025 00:00;Доставлен;31.07.2025 14:33;29.07.2025 22:25;4343;Худи VK Дигги комикс, серое (VMS-SW-001-700), M;1778100222;1
80851517-0032;80851517-0032-2;29.07.2025 10:00;30.07.2025 00:00;Доставлен;31.07.2025 15:23;30.07.2025 03:32;719;Картхолдер VK Спотти (НЛО);1768141529;1
30487353-0479;30487353-0479-1;29.07.2025 09:25;29.07.2025 14:30;Доставлен;30.07.2025 14:33;29.07.2025 12:29;1245;Футболка Спотти 3D, Графит (V3D-TS-001-700), XS;1768353212;1
65994170-0108;65994170-0108-3;29.07.2025 09:10;29.07.2025 14:30;Доставлен;04.08.2025 06:24;29.07.2025 15:03;1047;Брелок VK Кубик Рубика 3;1768307624;1
65994170-0108;65994170-0108-1;29.07.2025 09:10;29.07.2025 14:30;Доставлен;04.08.2025 06:24;29.07.2025 13:20;1494;Футболка Спотти 3D, Графит (V3D-TS-001-700), S;1768353232;1
56457234-1182;56457234-1182-4;29.07.2025 08:44;30.07.2025 00:00;Доставлен;30.07.2025 12:35;29.07.2025 21:08;719;Обложка на паспорт VK Дигги (Фуксия);1768141585;1
36368840-0380;36368840-0380-1;29.07.2025 08:15;31.07.2025 00:00;Доставлен;31.07.2025 16:01;30.07.2025 20:43;719;Обложка на паспорт VK Персик (Крик);1768141595;1
39477129-0253;39477129-0253-3;29.07.2025 08:04;30.07.2025 02:00;Доставляется;;29.07.2025 16:49;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
39477129-0253;39477129-0253-1;29.07.2025 08:04;30.07.2025 02:00;Доставляется;;29.07.2025 16:49;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
40714294-0293;40714294-0293-1;29.07.2025 07:55;30.07.2025 08:00;Отменён;;29.07.2025 14:32;1220;Мягкая игрушка VK МиуМяу;1768224468;1
0171874788-0023;0171874788-0023-1;29.07.2025 05:06;30.07.2025 05:00;Доставлен;01.08.2025 12:27;30.07.2025 04:58;719;Картхолдер VK Спотти (НЛО);1768141529;1
39330575-0102;39330575-0102-1;29.07.2025 04:34;31.07.2025 00:00;Доставлен;01.08.2025 15:17;30.07.2025 13:38;1145;Футболка, цвет экрю, Персик комикс (VMS-TS-014-100), L;1768353229;1
65948605-0037;65948605-0037-1;29.07.2025 00:28;31.07.2025 00:00;Доставлен;01.08.2025 13:33;30.07.2025 14:24;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
0126625015-0144;0126625015-0144-4;28.07.2025 23:52;29.07.2025 20:00;Доставлен;03.08.2025 10:23;29.07.2025 19:36;383;Носки с Дигги, голубые (VMS-SC-014-200), 36-40;1769119118;1
0171859486-0006;0171859486-0006-1;28.07.2025 23:00;29.07.2025 04:30;Доставлен;01.08.2025 16:55;29.07.2025 06:31;395;Носки с Персиком, белые (VMS-SC-018-100), 41-44;1769119467;1
21497238-0508;21497238-0508-1;28.07.2025 20:42;30.07.2025 04:00;Доставлен;01.08.2025 07:15;29.07.2025 18:07;1134;Мягкая игрушка VK Хоппер, малая;1768224467;1
44639472-0076;44639472-0076-5;28.07.2025 20:30;29.07.2025 00:00;Доставляется;;29.07.2025 02:05;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
44639472-0076;44639472-0076-3;28.07.2025 20:30;29.07.2025 00:00;Доставляется;;29.07.2025 02:05;1245;Футболка Персик 3D, Лаванда (V3D-TS-001-400), XS;1768353198;1
44639472-0076;44639472-0076-2;28.07.2025 20:30;29.07.2025 02:30;Доставляется;;29.07.2025 01:50;1245;Футболка Спотти 3D, Графит (V3D-TS-001-700), XS;1768353212;1
44639472-0076;44639472-0076-1;28.07.2025 20:30;29.07.2025 08:00;Доставляется;;29.07.2025 08:52;1245;Футболка Спотти 3D, Графит (V3D-TS-001-700), XS;1768353212;1
