Номер заказа;Номер отправления;Принят в обработку;Дата отгрузки;Статус;Дата доставки;Фактическая дата передачи в доставку;Сумма отправления;Наименование товара;OZON id;Количество
ORD00039;SHIP00039;2024-12-06 00:00:00;2024-12-06 00:00:00;Доставлен;2024-12-13 15:00:00;2024-12-06 15:00:00;132539.66;Мышь Razer DeathAdder;OZ324544;5
ORD00040;SHIP00040;2024-11-19 00:00:00;2024-11-19 00:00:00;В пути;;2024-11-19 14:00:00;26353.48;Настольная лампа Xiaomi;OZ743714;1
ORD00041;SHIP00041;2024-11-16 00:00:00;2024-11-18 00:00:00;В пути;;2024-11-18 21:00:00;87887.86;Фитнес-браслет Xiaomi;OZ835332;2
ORD00042;SHIP00042;2024-11-14 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-21 15:00:00;2024-11-16 15:00:00;14666.59;"Книга ""Python для начинающих""";OZ408787;1
ORD00043;SHIP00043;2024-11-16 00:00:00;2024-11-18 00:00:00;Доставлен;2024-11-24 20:00:00;2024-11-18 20:00:00;92009.62;Фен Dyson Supersonic;OZ465597;3
ORD00044;SHIP00044;2024-12-05 00:00:00;2024-12-06 00:00:00;В пути;;2024-12-06 08:00:00;520565.98;Телевизор LG OLED;OZ754209;4
ORD00045;SHIP00045;2024-12-02 00:00:00;2024-12-03 00:00:00;Возвращен;;2024-12-03 06:00:00;115476.71;Фен Dyson Supersonic;OZ284336;5
ORD00046;SHIP00046;2024-11-27 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-02 05:00:00;2024-11-27 05:00:00;315966.3;Смартфон Samsung Galaxy;OZ154398;5
ORD00047;SHIP00047;2024-11-11 00:00:00;2024-11-11 00:00:00;В пути;;2024-11-11 05:00:00;95979.08;Микрофон Blue Yeti;OZ613401;5
ORD00048;SHIP00048;2024-11-26 00:00:00;2024-11-28 00:00:00;Доставлен;2024-12-05 11:00:00;2024-11-28 11:00:00;230948.53;Монитор Dell UltraSharp;OZ790676;5
ORD00049;SHIP00049;2024-11-15 00:00:00;2024-11-17 00:00:00;Доставлен;2024-11-18 14:00:00;2024-11-17 14:00:00;24220.97;Рюкзак Nike;OZ704078;3
ORD00050;SHIP00050;2024-11-09 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-13 07:00:00;2024-11-10 07:00:00;353134.31;Телевизор LG OLED;OZ303640;3
ORD00051;SHIP00051;2024-11-25 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-03 10:00:00;2024-11-27 10:00:00;42712.48;Клавиатура Logitech;OZ623402;5
ORD00052;SHIP00052;2024-11-23 00:00:00;2024-11-24 00:00:00;Доставлен;2024-11-29 20:00:00;2024-11-24 20:00:00;278778.71;Смартфон Samsung Galaxy;OZ218162;5
ORD00053;SHIP00053;2024-12-07 00:00:00;2024-12-08 00:00:00;Доставлен;2024-12-11 16:00:00;2024-12-08 16:00:00;22383.26;Игровая консоль PlayStation 5;OZ627813;1
ORD00054;SHIP00054;2024-12-07 00:00:00;2024-12-08 00:00:00;В пути;;2024-12-08 04:00:00;89325.91;Веб-камера Logitech C920;OZ437787;2
ORD00055;SHIP00055;2024-12-01 00:00:00;2024-12-01 00:00:00;Доставлен;2024-12-04 20:00:00;2024-12-01 20:00:00;74743.44;Контроллер Xbox;OZ511981;4
ORD00056;SHIP00056;2024-11-22 00:00:00;2024-11-23 00:00:00;В пути;;2024-11-23 15:00:00;137080.62;"Книга ""Python для начинающих""";OZ329660;3
ORD00057;SHIP00057;2024-11-19 00:00:00;2024-11-20 00:00:00;В пути;;2024-11-20 11:00:00;12261.93;Зубная щетка Oral-B;OZ391093;3
ORD00058;SHIP00058;2024-11-19 00:00:00;2024-11-20 00:00:00;Доставлен;2024-11-23 10:00:00;2024-11-20 10:00:00;91797.56;Игра Cyberpunk 2077;OZ382484;4
ORD00059;SHIP00059;2024-11-10 00:00:00;2024-11-12 00:00:00;Доставлен;2024-11-15 21:00:00;2024-11-12 21:00:00;7154.1;Кофемашина Delonghi;OZ919372;1
ORD00060;SHIP00060;2024-12-06 00:00:00;2024-12-06 00:00:00;Возвращен;;2024-12-06 04:00:00;32390.32;Клавиатура Logitech;OZ283879;5
ORD00061;SHIP00061;2024-11-12 00:00:00;2024-11-14 00:00:00;Доставлен;2024-11-18 11:00:00;2024-11-14 11:00:00;36781.49;Колонка JBL Charge;OZ635387;4
ORD00062;SHIP00062;2024-11-19 00:00:00;2024-11-21 00:00:00;Доставлен;2024-11-24 16:00:00;2024-11-21 16:00:00;43946.4;Клавиатура Logitech;OZ532319;1
ORD00063;SHIP00063;2024-11-28 00:00:00;2024-11-29 00:00:00;В пути;;2024-11-29 07:00:00;134726.14;Микроволновка Panasonic;OZ620076;5
ORD00064;SHIP00064;2024-11-17 00:00:00;2024-11-18 00:00:00;Доставлен;2024-11-20 00:00:00;2024-11-19 00:00:00;138113.22;Рюкзак Nike;OZ787842;5
ORD00065;SHIP00065;2024-12-05 00:00:00;2024-12-07 00:00:00;В пути;;2024-12-07 03:00:00;256416.67;Ноутбук ASUS VivoBook;OZ387481;3
ORD00066;SHIP00066;2024-11-08 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-12 02:00:00;2024-11-10 02:00:00;69688.1;Смартфон Samsung Galaxy;OZ914585;1
ORD00067;SHIP00067;2024-12-02 00:00:00;2024-12-02 00:00:00;В пути;;2024-12-02 12:00:00;51266.94;Игра Cyberpunk 2077;OZ303247;3
ORD00068;SHIP00068;2024-11-18 00:00:00;2024-11-18 00:00:00;Доставлен;2024-11-24 05:00:00;2024-11-18 05:00:00;212827.4;Пылесос Dyson V15;OZ640243;5
ORD00069;SHIP00069;2024-11-11 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-16 07:00:00;2024-11-13 07:00:00;1863.37;Стиральная машина Bosch;OZ590427;2
ORD00070;SHIP00070;2024-11-11 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-20 19:00:00;2024-11-13 19:00:00;27484.39;Настольная лампа Xiaomi;OZ215521;3
ORD00071;SHIP00071;2024-11-10 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-13 02:00:00;2024-11-10 02:00:00;14614.39;Наушники Sony WH-1000XM4;OZ225911;1
ORD00072;SHIP00072;2024-12-02 00:00:00;2024-12-03 00:00:00;Доставлен;2024-12-05 18:00:00;2024-12-03 18:00:00;82362.33;Колонка JBL Charge;OZ217997;3
ORD00073;SHIP00073;2024-11-15 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-23 15:00:00;2024-11-16 15:00:00;89385.88;Игра Cyberpunk 2077;OZ724678;5
ORD00074;SHIP00074;2024-12-04 00:00:00;2024-12-06 00:00:00;Доставлен;2024-12-08 15:00:00;2024-12-06 15:00:00;70378.59;Ноутбук ASUS VivoBook;OZ879921;1
ORD00075;SHIP00075;2024-11-24 00:00:00;2024-11-24 00:00:00;Возвращен;;2024-11-24 18:00:00;150544.18;Зубная щетка Oral-B;OZ353430;4
ORD00076;SHIP00076;2024-11-21 00:00:00;2024-11-22 00:00:00;Доставлен;2024-11-23 03:00:00;2024-11-22 03:00:00;36273.2;Мышь Razer DeathAdder;OZ904769;3
ORD00077;SHIP00077;2024-11-25 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-01 18:00:00;2024-11-27 18:00:00;84806.21;Контроллер Xbox;OZ102059;2
ORD00078;SHIP00078;2024-11-27 00:00:00;2024-11-28 00:00:00;Обрабатывается;;2024-11-29 00:00:00;76387.28;Фитнес-браслет Xiaomi;OZ130872;2
ORD00079;SHIP00079;2024-11-26 00:00:00;2024-11-27 00:00:00;Доставлен;2024-11-29 18:00:00;2024-11-27 18:00:00;31197.12;Рюкзак Nike;OZ960403;1
ORD00080;SHIP00080;2024-11-14 00:00:00;2024-11-15 00:00:00;Отменен;;2024-11-15 02:00:00;66733.7;Игра Cyberpunk 2077;OZ331947;3
ORD00081;SHIP00081;2024-11-22 00:00:00;2024-11-22 00:00:00;Доставлен;2024-11-23 12:00:00;2024-11-22 12:00:00;171714.21;Пылесос Dyson V15;OZ539818;5
ORD00082;SHIP00082;2024-11-20 00:00:00;2024-11-22 00:00:00;Доставлен;2024-11-27 16:00:00;2024-11-22 16:00:00;173162.11;"Книга ""Python для начинающих""";OZ416655;5
ORD00083;SHIP00083;2024-11-08 00:00:00;2024-11-08 00:00:00;Доставлен;2024-11-12 06:00:00;2024-11-08 06:00:00;4611.11;Веб-камера Logitech C920;OZ686909;3
ORD00084;SHIP00084;2024-11-09 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-14 17:00:00;2024-11-10 17:00:00;136912.66;Электробритва Philips;OZ915171;4
ORD00085;SHIP00085;2024-11-29 00:00:00;2024-12-01 00:00:00;Отменен;;2024-12-01 20:00:00;238049.56;Мышь Razer DeathAdder;OZ563509;5
ORD00086;SHIP00086;2024-11-12 00:00:00;2024-11-12 00:00:00;В пути;;2024-11-12 23:00:00;120551.75;iPhone 15 Pro;OZ937402;3
ORD00087;SHIP00087;2024-11-25 00:00:00;2024-11-26 00:00:00;Доставлен;2024-12-02 03:00:00;2024-11-26 03:00:00;44112.43;Зубная щетка Oral-B;OZ210221;4
ORD00088;SHIP00088;2024-11-25 00:00:00;2024-11-26 00:00:00;Доставлен;2024-11-27 02:00:00;2024-11-26 02:00:00;76092.66;Электробритва Philips;OZ997118;3
ORD00089;SHIP00089;2024-11-22 00:00:00;2024-11-23 00:00:00;Доставлен;2024-11-30 08:00:00;2024-11-23 08:00:00;143552.16;Зубная щетка Oral-B;OZ587456;3
ORD00090;SHIP00090;2024-11-11 00:00:00;2024-11-11 00:00:00;Обрабатывается;;2024-11-11 15:00:00;100860.21;Колонка JBL Charge;OZ100207;4
ORD00091;SHIP00091;2024-11-19 00:00:00;2024-11-20 00:00:00;Доставлен;2024-11-27 09:00:00;2024-11-20 09:00:00;71498.58;Смартфон Samsung Galaxy;OZ816499;2
ORD00092;SHIP00092;2024-11-10 00:00:00;2024-11-11 00:00:00;Доставлен;2024-11-13 22:00:00;2024-11-11 22:00:00;39434.91;Роутер ASUS AX6000;OZ488816;5
ORD00093;SHIP00093;2024-11-28 00:00:00;2024-11-28 00:00:00;Доставлен;2024-11-30 16:00:00;2024-11-28 16:00:00;165149.63;Смартфон Samsung Galaxy;OZ667991;3
ORD00094;SHIP00094;2024-11-27 00:00:00;2024-11-29 00:00:00;Доставлен;2024-12-06 10:00:00;2024-11-29 10:00:00;2181.16;Монитор Dell UltraSharp;OZ444233;2
ORD00095;SHIP00095;2024-12-07 00:00:00;2024-12-09 00:00:00;В пути;;2024-12-09 06:00:00;25075.6;Умные часы Apple Watch;OZ199466;2
ORD00096;SHIP00096;2024-11-13 00:00:00;2024-11-13 00:00:00;В пути;;2024-11-13 06:00:00;171471.04;Игровая консоль PlayStation 5;OZ998235;5
ORD00097;SHIP00097;2024-11-23 00:00:00;2024-11-23 00:00:00;В пути;;2024-11-23 17:00:00;116254.78;Микрофон Blue Yeti;OZ698379;4
ORD00098;SHIP00098;2024-11-29 00:00:00;2024-11-30 00:00:00;В пути;;2024-11-30 17:00:00;59057.58;Настольная лампа Xiaomi;OZ356353;4
ORD00099;SHIP00099;2024-11-11 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-15 00:00:00;2024-11-14 00:00:00;114257.23;Игровая консоль PlayStation 5;OZ971260;5
ORD00100;SHIP00100;2024-11-09 00:00:00;2024-11-10 00:00:00;В пути;;2024-11-10 18:00:00;54042.89;"Книга ""Python для начинающих""";OZ221631;5
ORD00101;SHIP00101;2024-11-09 00:00:00;2024-11-11 00:00:00;Доставлен;2024-11-17 21:00:00;2024-11-11 21:00:00;48715.79;Планшет iPad Air;OZ526206;2
ORD00102;SHIP00102;2024-12-01 00:00:00;2024-12-02 00:00:00;Доставлен;2024-12-03 10:00:00;2024-12-02 10:00:00;59777.01;Клавиатура Logitech;OZ798540;2
ORD00103;SHIP00103;2024-12-05 00:00:00;2024-12-07 00:00:00;Доставлен;2024-12-14 22:00:00;2024-12-07 22:00:00;61051.3;Клавиатура Logitech;OZ125257;3
ORD00104;SHIP00104;2024-11-10 00:00:00;2024-11-12 00:00:00;Доставлен;2024-11-15 13:00:00;2024-11-12 13:00:00;24020.54;Монитор Dell UltraSharp;OZ331211;1
ORD00105;SHIP00105;2024-12-02 00:00:00;2024-12-04 00:00:00;Обрабатывается;;2024-12-04 04:00:00;432243.45;Телевизор LG OLED;OZ197713;3
ORD00106;SHIP00106;2024-11-11 00:00:00;2024-11-12 00:00:00;В пути;;2024-11-12 09:00:00;199328.93;Контроллер Xbox;OZ195060;4
ORD00107;SHIP00107;2024-12-05 00:00:00;2024-12-06 00:00:00;Доставлен;2024-12-10 08:00:00;2024-12-06 08:00:00;379749.3;Телевизор LG OLED;OZ577361;5
ORD00108;SHIP00108;2024-11-20 00:00:00;2024-11-22 00:00:00;В пути;;2024-11-22 19:00:00;98784.5;Фитнес-браслет Xiaomi;OZ414583;5
ORD00109;SHIP00109;2024-12-07 00:00:00;2024-12-09 00:00:00;Доставлен;2024-12-14 21:00:00;2024-12-09 21:00:00;214800.36;Ноутбук ASUS VivoBook;OZ694573;5
ORD00110;SHIP00110;2024-11-10 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-16 10:00:00;2024-11-10 10:00:00;439484.58;Планшет iPad Air;OZ271770;5
ORD00111;SHIP00111;2024-11-22 00:00:00;2024-11-24 00:00:00;Доставлен;2024-12-01 08:00:00;2024-11-24 08:00:00;58911.81;Мышь Razer DeathAdder;OZ736675;5
ORD00112;SHIP00112;2024-11-14 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-17 14:00:00;2024-11-16 14:00:00;61673.88;Наушники Sony WH-1000XM4;OZ287334;5
ORD00113;SHIP00113;2024-11-15 00:00:00;2024-11-15 00:00:00;Доставлен;2024-11-19 15:00:00;2024-11-15 15:00:00;32482.12;Зубная щетка Oral-B;OZ511606;4
ORD00114;SHIP00114;2024-11-21 00:00:00;2024-11-22 00:00:00;Доставлен;2024-11-29 19:00:00;2024-11-22 19:00:00;69572.29;Электробритва Philips;OZ253739;3
ORD00115;SHIP00115;2024-11-29 00:00:00;2024-11-29 00:00:00;В пути;;2024-11-29 13:00:00;7778.2;Зубная щетка Oral-B;OZ370615;2
ORD00116;SHIP00116;2024-11-08 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-17 04:00:00;2024-11-10 04:00:00;191493.97;Кофемашина Delonghi;OZ326916;4
ORD00117;SHIP00117;2024-11-22 00:00:00;2024-11-23 00:00:00;Обрабатывается;;2024-11-23 02:00:00;132611.7;Кофемашина Delonghi;OZ678485;4
ORD00118;SHIP00118;2024-11-11 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-15 08:00:00;2024-11-13 08:00:00;245781.21;iPhone 15 Pro;OZ711395;5
ORD00119;SHIP00119;2024-11-08 00:00:00;2024-11-10 00:00:00;Доставлен;2024-11-11 02:00:00;2024-11-10 02:00:00;131244.47;Рюкзак Nike;OZ430294;3
ORD00120;SHIP00120;2024-11-19 00:00:00;2024-11-21 00:00:00;Доставлен;2024-11-26 12:00:00;2024-11-21 12:00:00;4349.7;Настольная лампа Xiaomi;OZ951523;2
ORD00121;SHIP00121;2024-11-26 00:00:00;2024-11-27 00:00:00;В пути;;2024-11-27 10:00:00;36394.45;Смартфон Samsung Galaxy;OZ500527;1
ORD00122;SHIP00122;2024-12-01 00:00:00;2024-12-02 00:00:00;Доставлен;2024-12-07 23:00:00;2024-12-02 23:00:00;30385.43;Колонка JBL Charge;OZ565246;5
ORD00123;SHIP00123;2024-11-21 00:00:00;2024-11-22 00:00:00;Доставлен;2024-11-27 16:00:00;2024-11-22 16:00:00;18463.27;Игра Cyberpunk 2077;OZ449474;2
ORD00124;SHIP00124;2024-11-22 00:00:00;2024-11-22 00:00:00;В пути;;2024-11-22 14:00:00;34891.7;Веб-камера Logitech C920;OZ850566;4
ORD00125;SHIP00125;2024-11-22 00:00:00;2024-11-23 00:00:00;Доставлен;2024-11-24 11:00:00;2024-11-23 11:00:00;185738.49;Телевизор LG OLED;OZ761681;2
ORD00126;SHIP00126;2024-12-07 00:00:00;2024-12-09 00:00:00;Доставлен;2024-12-11 09:00:00;2024-12-09 09:00:00;173161.61;Веб-камера Logitech C920;OZ540230;4
ORD00127;SHIP00127;2024-11-29 00:00:00;2024-11-29 00:00:00;Доставлен;2024-12-02 07:00:00;2024-11-29 07:00:00;154113.11;Мышь Razer DeathAdder;OZ886248;4
ORD00128;SHIP00128;2024-12-04 00:00:00;2024-12-05 00:00:00;Доставлен;2024-12-08 15:00:00;2024-12-05 15:00:00;43262.09;Зубная щетка Oral-B;OZ297114;3
ORD00129;SHIP00129;2024-11-27 00:00:00;2024-11-28 00:00:00;Доставлен;2024-12-01 22:00:00;2024-11-28 22:00:00;67636.23;"Книга ""Python для начинающих""";OZ643062;2
ORD00130;SHIP00130;2024-11-13 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-19 14:00:00;2024-11-13 14:00:00;43451.35;Фен Dyson Supersonic;OZ148023;4
ORD00131;SHIP00131;2024-11-27 00:00:00;2024-11-27 00:00:00;Доставлен;2024-11-29 13:00:00;2024-11-27 13:00:00;133826.01;Смартфон Samsung Galaxy;OZ312980;3
ORD00132;SHIP00132;2024-12-02 00:00:00;2024-12-02 00:00:00;Доставлен;2024-12-03 14:00:00;2024-12-02 14:00:00;51800.87;Наушники Sony WH-1000XM4;OZ440752;4
ORD00133;SHIP00133;2024-11-17 00:00:00;2024-11-18 00:00:00;Доставлен;2024-11-25 14:00:00;2024-11-18 14:00:00;22458.55;Колонка JBL Charge;OZ174332;5
ORD00134;SHIP00134;2024-11-11 00:00:00;2024-11-12 00:00:00;Доставлен;2024-11-19 09:00:00;2024-11-12 09:00:00;290848.7;iPhone 15 Pro;OZ655026;5
ORD00135;SHIP00135;2024-11-14 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-23 23:00:00;2024-11-16 23:00:00;25505.46;Наушники Sony WH-1000XM4;OZ551720;2
ORD00136;SHIP00136;2024-11-19 00:00:00;2024-11-19 00:00:00;Доставлен;2024-11-21 15:00:00;2024-11-19 15:00:00;73442.23;Контроллер Xbox;OZ826062;2
ORD00137;SHIP00137;2024-11-14 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-22 22:00:00;2024-11-16 22:00:00;124541.43;Мышь Razer DeathAdder;OZ995552;3
ORD00138;SHIP00138;2024-11-28 00:00:00;2024-11-28 00:00:00;Доставлен;2024-12-03 02:00:00;2024-11-28 02:00:00;69781.09;Ноутбук ASUS VivoBook;OZ106839;2
ORD00139;SHIP00139;2024-12-02 00:00:00;2024-12-03 00:00:00;Доставлен;2024-12-10 06:00:00;2024-12-03 06:00:00;73420.49;Колонка JBL Charge;OZ701298;4
ORD00140;SHIP00140;2024-11-16 00:00:00;2024-11-18 00:00:00;Доставлен;2024-11-23 09:00:00;2024-11-18 09:00:00;9475.33;Наушники Sony WH-1000XM4;OZ200177;1
ORD00141;SHIP00141;2024-11-16 00:00:00;2024-11-18 00:00:00;В пути;;2024-11-18 20:00:00;15027.57;Рюкзак Nike;OZ468118;1
ORD00142;SHIP00142;2024-11-28 00:00:00;2024-11-30 00:00:00;Доставлен;2024-12-05 17:00:00;2024-11-30 17:00:00;136185.57;Смартфон Samsung Galaxy;OZ219066;3
ORD00143;SHIP00143;2024-11-21 00:00:00;2024-11-21 00:00:00;Доставлен;2024-11-24 12:00:00;2024-11-21 12:00:00;31457.83;Наушники Sony WH-1000XM4;OZ220536;3
ORD00144;SHIP00144;2024-12-03 00:00:00;2024-12-04 00:00:00;Доставлен;2024-12-10 08:00:00;2024-12-04 08:00:00;5139.46;"Книга ""Python для начинающих""";OZ116310;1
ORD00145;SHIP00145;2024-12-01 00:00:00;2024-12-02 00:00:00;Доставлен;2024-12-09 16:00:00;2024-12-02 16:00:00;20049.42;Контроллер Xbox;OZ565269;4
ORD00146;SHIP00146;2024-11-09 00:00:00;2024-11-11 00:00:00;Доставлен;2024-11-15 22:00:00;2024-11-11 22:00:00;72656.56;Игровая консоль PlayStation 5;OZ710189;5
ORD00147;SHIP00147;2024-11-09 00:00:00;2024-11-11 00:00:00;Доставлен;2024-11-12 17:00:00;2024-11-11 17:00:00;192427.49;Мышь Razer DeathAdder;OZ887720;5
ORD00148;SHIP00148;2024-11-12 00:00:00;2024-11-14 00:00:00;В пути;;2024-11-14 14:00:00;257192.79;Смартфон Samsung Galaxy;OZ350574;5
